Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
16;1001896;Свободная форма с печатью работодателя;Покупка автомобиля;1;0.49;мужской;0;0;*n.a.*;торговый представитель;< 50;0;17;26;Торговля;Индивидуальный предприниматель;холост / не замужем;1;1;1;1;1;0.1290322581;0;0;0;0;1;2;0;27;2;1;0;23;24;1;0;0;0;0;0;0
16;1001916;Поступление зарплаты на счет;Лечение;0;0.52;женский;2;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;< 50;0;32;35;Другое;Иная форма;холост / не замужем;4;4;2;0;0;0;0;2;2;2;0.6;3;2;38;5;2;1;0;23;0;0;0;0;0;0;0
16;1001936;Поступление зарплаты на счет;Ремонт;1;0.57;женский;0;0;среднее-специальное;специалист;< 50;0;22;58;Другое;ООО;женат / замужем;0;0;0;0;0;0;1;0;0;0;0.5;1;1;12;2;1;0;10;11;0;0;0;0;0;0;0
16;1001956;Свободная форма с печатью работодателя;Ремонт;1;0.36;женский;0;0;незаконченное высшее;менеджер по продажам;>250;0;52;25;Другое;ООО;холост / не замужем;3;3;3;3;1;0;0;0;0;0;0;0;1;5;1;0;0;46;46;0;0;0;0;0;0;0
16;1001976;2НДФЛ;Ремонт;0;0.57;женский;0;0;высшее;специалист;>250;0;11;27;Другое;ОАО;холост / не замужем;0;0;0;0;0;0.0238095238;0;1;0;0;0.6666666667;2;1;41;3;1;0;3;65;1;0;0;0;0;0;0
16;1001996;2НДФЛ;Ремонт;1;0.39;женский;1;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;>250;0;13;42;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1002016;Форма банка (без печати работодателя);Отпуск;0;0.4;мужской;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;406;54;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1002036;2НДФЛ;Покупка недвижимости/ строительство;0;0.49;мужской;1;0;высшее;специалист;>250;0;122;30;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1002056;Поступление зарплаты на счет;Ремонт;0;0.38;женский;0;0;среднее-специальное;специалист;>250;1;61;32;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1002076;Форма банка (без печати работодателя);Ремонт;1;0.44;мужской;0;0;высшее;рабочий;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1002096;Поступление зарплаты на счет;Отпуск;1;0.16;женский;0;0;высшее;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1002116;Поступление зарплаты на счет;Отпуск;1;0.03;женский;0;0;высшее;специалист;>250;0;44;27;Другое;ЗАО;холост / не замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
